number_of_elements, start_time, end_time, duration, result
1000, 1571597234616, 1571597234624, 8, true
2000, 1571597234625, 1571597234634, 9, true
3000, 1571597234635, 1571597234651, 16, true
4000, 1571597234651, 1571597234675, 24, true
5000, 1571597234675, 1571597234714, 39, true
6000, 1571597234714, 1571597234773, 59, true
7000, 1571597234773, 1571597234857, 84, true
8000, 1571597234857, 1571597234950, 93, true
9000, 1571597234950, 1571597235088, 138, true
10000, 1571597235088, 1571597235279, 191, true
11000, 1571597235279, 1571597235478, 199, true
12000, 1571597235478, 1571597235684, 206, true
13000, 1571597235684, 1571597235935, 251, true
14000, 1571597235936, 1571597236227, 291, true
15000, 1571597236227, 1571597236563, 336, true
16000, 1571597236563, 1571597236949, 386, true
17000, 1571597236949, 1571597237396, 447, true
18000, 1571597237396, 1571597237900, 504, true
19000, 1571597237900, 1571597238467, 567, true
20000, 1571597238467, 1571597239096, 629, true
21000, 1571597239096, 1571597239793, 697, true
22000, 1571597239793, 1571597240564, 771, true
23000, 1571597240564, 1571597241413, 849, true
24000, 1571597241413, 1571597242343, 930, true
25000, 1571597242343, 1571597243357, 1014, true
26000, 1571597243358, 1571597244462, 1104, true
27000, 1571597244462, 1571597245658, 1196, true
28000, 1571597245658, 1571597246942, 1284, true
29000, 1571597246942, 1571597248325, 1383, true
30000, 1571597248325, 1571597249813, 1488, true
31000, 1571597249813, 1571597251402, 1589, true
32000, 1571597251402, 1571597253096, 1694, true
33000, 1571597253096, 1571597254901, 1805, true
34000, 1571597254901, 1571597256819, 1918, true
35000, 1571597256819, 1571597258854, 2035, true
36000, 1571597258854, 1571597261009, 2155, true
37000, 1571597261009, 1571597263293, 2284, true
38000, 1571597263293, 1571597265703, 2410, true
39000, 1571597265703, 1571597268232, 2529, true
40000, 1571597268232, 1571597270913, 2681, true
41000, 1571597270913, 1571597273732, 2819, true
42000, 1571597273732, 1571597276694, 2962, true
43000, 1571597276694, 1571597279782, 3088, true
44000, 1571597279782, 1571597283010, 3228, true
45000, 1571597283010, 1571597286407, 3397, true
46000, 1571597286407, 1571597289954, 3547, true
47000, 1571597289954, 1571597293657, 3703, true
48000, 1571597293657, 1571597297519, 3862, true
49000, 1571597297519, 1571597301563, 4044, true
50000, 1571597301563, 1571597305746, 4183, true
