number_of_elements, start_time, end_time, duration, result
1, 1571596914387, 1571596914389, 2, true
2, 1571596914389, 1571596914389, 0, true
3, 1571596914389, 1571596914389, 0, true
4, 1571596914389, 1571596914389, 0, true
5, 1571596914389, 1571596914389, 0, true
6, 1571596914389, 1571596914389, 0, true
7, 1571596914389, 1571596914389, 0, true
8, 1571596914389, 1571596914389, 0, true
9, 1571596914389, 1571596914389, 0, true
10, 1571596914389, 1571596914390, 1, true
11, 1571596914390, 1571596914390, 0, true
12, 1571596914390, 1571596914390, 0, true
13, 1571596914390, 1571596914390, 0, true
14, 1571596914390, 1571596914390, 0, true
15, 1571596914390, 1571596914390, 0, true
16, 1571596914390, 1571596914390, 0, true
17, 1571596914390, 1571596914390, 0, true
18, 1571596914390, 1571596914390, 0, true
19, 1571596914390, 1571596914390, 0, true
20, 1571596914391, 1571596914391, 0, true
21, 1571596914391, 1571596914391, 0, true
22, 1571596914391, 1571596914391, 0, true
23, 1571596914391, 1571596914391, 0, true
24, 1571596914391, 1571596914391, 0, true
25, 1571596914391, 1571596914395, 4, true
26, 1571596914396, 1571596914396, 0, true
27, 1571596914396, 1571596914396, 0, true
28, 1571596914396, 1571596914401, 5, true
29, 1571596914401, 1571596914401, 0, true
30, 1571596914401, 1571596914401, 0, true
31, 1571596914401, 1571596914402, 1, true
32, 1571596914402, 1571596914402, 0, true
33, 1571596914402, 1571596914402, 0, true
34, 1571596914402, 1571596914402, 0, true
35, 1571596914402, 1571596914402, 0, true
36, 1571596914402, 1571596914402, 0, true
37, 1571596914402, 1571596914402, 0, true
38, 1571596914402, 1571596914402, 0, true
39, 1571596914403, 1571596914403, 0, true
40, 1571596914403, 1571596914403, 0, true
41, 1571596914403, 1571596914403, 0, true
42, 1571596914403, 1571596914403, 0, true
43, 1571596914403, 1571596914403, 0, true
44, 1571596914403, 1571596914403, 0, true
45, 1571596914403, 1571596914403, 0, true
46, 1571596914403, 1571596914404, 1, true
47, 1571596914404, 1571596914404, 0, true
48, 1571596914404, 1571596914404, 0, true
49, 1571596914404, 1571596914404, 0, true
50, 1571596914404, 1571596914404, 0, true
51, 1571596914404, 1571596914404, 0, true
52, 1571596914404, 1571596914406, 2, true
53, 1571596914406, 1571596914406, 0, true
54, 1571596914406, 1571596914406, 0, true
55, 1571596914406, 1571596914406, 0, true
56, 1571596914406, 1571596914406, 0, true
57, 1571596914407, 1571596914407, 0, true
58, 1571596914407, 1571596914407, 0, true
