x_axis, y_axis
4, 78
28, 56
64, 28
23, 63
39, 50
12, 30
58, 18
1, 97
10, 78
51, 43
6, 29
42, 93
24, 72
46, 79
95, 41
53, 74
44, 76
35, 95
15, 85
41, 93
49, 12
77, 37
32, 73
18, 38
27, 98
0, 88
68, 1
52, 85
91, 18
10, 32
56, 55
10, 51
38, 36
68, 98
54, 92
67, 52
17, 92
53, 14
27, 94
69, 83
65, 28
77, 72
33, 80
67, 71
12, 20
26, 13
85, 53
70, 65
84, 13
34, 44
55, 20
72, 59
49, 1
24, 78
54, 82
61, 79
82, 85
60, 46
7, 9
24, 64
41, 2
3, 21
91, 46
73, 26
95, 15
71, 58
26, 0
89, 72
25, 1
24, 35
25, 10
56, 22
3, 80
52, 53
37, 9
2, 57
26, 71
15, 29
54, 16
4, 76
32, 62
71, 85
57, 31
12, 50
62, 45
97, 28
25, 10
89, 1
16, 43
76, 66
25, 42
84, 50
27, 22
21, 97
68, 70
85, 97
63, 80
40, 90
96, 12
6, 46
6, 54
78, 21
23, 80
18, 71
87, 75
88, 45
63, 5
34, 97
76, 74
12, 15
8, 9
84, 37
41, 15
71, 75
43, 93
57, 11
41, 8
6, 96
96, 26
3, 41
11, 25
18, 25
90, 48
1, 85
48, 25
81, 69
21, 31
50, 72
18, 71
45, 34
75, 59
40, 42
35, 71
55, 88
90, 19
3, 99
79, 92
35, 22
85, 16
56, 34
65, 39
23, 29
41, 53
81, 88
73, 75
67, 17
97, 32
8, 39
94, 32
95, 34
92, 83
0, 52
71, 55
36, 72
71, 18
43, 21
19, 52
54, 69
36, 60
7, 82
68, 67
9, 33
11, 4
17, 93
60, 82
74, 54
39, 7
48, 99
80, 19
66, 88
52, 17
62, 31
27, 5
58, 7
71, 80
3, 1
38, 14
94, 70
14, 92
62, 1
19, 4
30, 56
46, 83
54, 23
55, 97
53, 46
77, 51
73, 33
5, 3
58, 70
99, 81
28, 94
90, 51
97, 46
26, 14
52, 5
42, 95
22, 60
61, 62
68, 9
73, 12
75, 94
21, 73
31, 81
71, 0
14, 87
82, 96
82, 95
41, 44
74, 74
32, 99
0, 52
49, 15
91, 55
45, 45
15, 92
30, 21
53, 89
0, 20
37, 37
67, 3
46, 3
30, 72
2, 30
73, 79
13, 66
61, 17
42, 82
96, 56
44, 78
73, 95
43, 23
63, 69
62, 53
2, 5
23, 23
18, 11
75, 20
67, 45
65, 49
16, 79
12, 54
79, 29
82, 45
92, 36
63, 15
67, 70
96, 64
98, 65
74, 62
54, 37
56, 0
0, 68
0, 66
28, 37
31, 83
57, 41
85, 35
14, 74
57, 34
32, 22
37, 32
50, 86
15, 8
16, 85
25, 55
99, 59
69, 61
47, 50
92, 84
67, 80
5, 22
70, 3
83, 45
7, 70
35, 51
69, 74
24, 28
24, 4
62, 23
49, 2
0, 65
16, 20
16, 64
73, 70
18, 49
9, 66
19, 29
77, 31
57, 57
81, 44
30, 96
95, 19
36, 14
75, 42
72, 21
1, 29
53, 83
48, 67
58, 77
29, 15
83, 6
10, 22
52, 63
24, 35
25, 3
41, 90
46, 75
59, 43
41, 13
2, 9
24, 52
93, 7
46, 44
68, 59
60, 56
72, 3
7, 41
51, 6
61, 45
98, 9
81, 19
98, 47
46, 44
5, 15
8, 95
73, 67
44, 24
31, 0
14, 31
60, 16
32, 45
73, 63
18, 71
54, 33
45, 31
51, 94
25, 21
14, 3
46, 68
35, 28
55, 25
0, 22
28, 45
4, 24
55, 15
35, 80
76, 3
38, 49
75, 54
27, 22
34, 26
61, 70
9, 1
78, 30
34, 10
99, 78
42, 45
52, 27
91, 98
2, 99
46, 13
60, 12
74, 52
63, 68
12, 40
27, 73
98, 10
18, 66
18, 47
6, 33
10, 44
7, 50
74, 76
73, 26
44, 26
62, 26
84, 74
26, 9
89, 53
10, 43
15, 30
54, 64
89, 98
22, 6
76, 95
58, 36
59, 96
71, 48
39, 47
47, 12
92, 61
37, 91
49, 87
29, 46
99, 7
3, 91
13, 69
67, 74
98, 21
28, 68
69, 96
91, 82
41, 0
64, 34
65, 48
71, 14
60, 61
