number_of_elements, start_time, end_time, duration, result
10000, 1575237507287, 1575237507327, 40, true
20000, 1575237507328, 1575237507392, 64, true
30000, 1575237507394, 1575237507435, 41, true
40000, 1575237507436, 1575237507454, 18, true
50000, 1575237507463, 1575237507484, 21, true
60000, 1575237507488, 1575237507515, 27, true
70000, 1575237507516, 1575237507562, 46, true
80000, 1575237507563, 1575237507618, 55, true
90000, 1575237507619, 1575237507701, 82, true
100000, 1575237507702, 1575237507738, 36, true
110000, 1575237507739, 1575237507783, 44, true
120000, 1575237507784, 1575237507848, 64, true
130000, 1575237507850, 1575237507926, 76, true
140000, 1575237507927, 1575237507995, 68, true
150000, 1575237507995, 1575237508075, 80, true
160000, 1575237508076, 1575237508159, 83, true
170000, 1575237508160, 1575237508286, 126, true
180000, 1575237508288, 1575237508394, 106, true
190000, 1575237508395, 1575237508470, 75, true
200000, 1575237508471, 1575237508554, 83, true
210000, 1575237508555, 1575237508635, 80, true
220000, 1575237508636, 1575237508770, 134, true
230000, 1575237508773, 1575237508888, 115, true
240000, 1575237508889, 1575237508961, 72, true
250000, 1575237508962, 1575237509033, 71, true
260000, 1575237509035, 1575237509133, 98, true
270000, 1575237509135, 1575237509215, 80, true
280000, 1575237509216, 1575237509316, 100, true
290000, 1575237509317, 1575237509401, 84, true
300000, 1575237509402, 1575237509492, 90, true
310000, 1575237509493, 1575237509575, 82, true
320000, 1575237509576, 1575237509653, 77, true
330000, 1575237509654, 1575237509739, 85, true
340000, 1575237509740, 1575237509822, 82, true
350000, 1575237509823, 1575237509915, 92, true
360000, 1575237509916, 1575237510009, 93, true
370000, 1575237510010, 1575237510100, 90, true
380000, 1575237510101, 1575237510200, 99, true
390000, 1575237510201, 1575237510296, 95, true
400000, 1575237510297, 1575237510403, 106, true
410000, 1575237510404, 1575237510511, 107, true
420000, 1575237510512, 1575237510616, 104, true
430000, 1575237510617, 1575237510732, 115, true
440000, 1575237510734, 1575237510850, 116, true
450000, 1575237510852, 1575237510963, 111, true
460000, 1575237510964, 1575237511085, 121, true
470000, 1575237511086, 1575237511209, 123, true
480000, 1575237511211, 1575237511337, 126, true
490000, 1575237511339, 1575237511460, 121, true
500000, 1575237511462, 1575237511594, 132, true
510000, 1575237511596, 1575237511731, 135, true
520000, 1575237511732, 1575237511870, 138, true
530000, 1575237511872, 1575237512013, 141, true
540000, 1575237512014, 1575237512148, 134, true
550000, 1575237512153, 1575237512290, 137, true
560000, 1575237512291, 1575237512442, 151, true
570000, 1575237512443, 1575237512595, 152, true
580000, 1575237512597, 1575237512752, 155, true
590000, 1575237512753, 1575237512912, 159, true
600000, 1575237512914, 1575237513074, 160, true
610000, 1575237513076, 1575237513241, 165, true
620000, 1575237513243, 1575237513410, 167, true
630000, 1575237513412, 1575237513582, 170, true
640000, 1575237513583, 1575237513756, 173, true
650000, 1575237513758, 1575237513934, 176, true
660000, 1575237513936, 1575237514114, 178, true
670000, 1575237514116, 1575237514312, 196, true
680000, 1575237514314, 1575237514520, 206, true
690000, 1575237514522, 1575237514718, 196, true
700000, 1575237514720, 1575237514910, 190, true
710000, 1575237514913, 1575237515105, 192, true
720000, 1575237515107, 1575237515302, 195, true
730000, 1575237515304, 1575237515519, 215, true
740000, 1575237515521, 1575237515744, 223, true
750000, 1575237515746, 1575237515961, 215, true
760000, 1575237515964, 1575237516189, 225, true
770000, 1575237516192, 1575237516422, 230, true
780000, 1575237516424, 1575237516652, 228, true
790000, 1575237516655, 1575237516891, 236, true
800000, 1575237516893, 1575237517133, 240, true
810000, 1575237517136, 1575237517373, 237, true
820000, 1575237517376, 1575237517783, 407, true
830000, 1575237517786, 1575237518035, 249, true
840000, 1575237518038, 1575237518297, 259, true
850000, 1575237518300, 1575237518556, 256, true
860000, 1575237518558, 1575237518997, 439, true
870000, 1575237518999, 1575237519260, 261, true
880000, 1575237519262, 1575237519544, 282, true
890000, 1575237519547, 1575237519815, 268, true
900000, 1575237519817, 1575237520283, 466, true
910000, 1575237520286, 1575237520598, 312, true
920000, 1575237520600, 1575237520877, 277, true
930000, 1575237520880, 1575237521174, 294, true
940000, 1575237521178, 1575237521686, 508, true
950000, 1575237521688, 1575237521975, 287, true
960000, 1575237521978, 1575237522286, 308, true
970000, 1575237522289, 1575237522621, 332, true
980000, 1575237522624, 1575237523152, 528, true
990000, 1575237523155, 1575237523495, 340, true
1000000, 1575237523498, 1575237523797, 299, true
